tokenizer_family,model_name,tokenizer_path,tokenizer_mode,language,length_label,input_chars,worker_processes,chunk_count,chunk_chars,overlap_chars,chat_template_time_ms,mp_dispatch_process_collect_time_ms,chunk_dedup_time_ms,lopt_e2e_time_ms,native_e2e_time_ms,native_tokenizer_time_ms,native_output_tokens,native_token_hash,lopt_output_tokens,lopt_token_hash,exact_match,fallback_used,fallback_serial_time_ms,fallback_token_hash,error_message,candidate_status,actual_chunk_count,e2e_speedup_x,tokenizer_speedup_x,tokenizer_time_drop_pct
Qwen3.5,Qwen/Qwen3.5-27B,/root/LoPT/tokenizers/qwen3_5_4b,hf,en,512k,524288,2,2,262144,512,0.0,162.86,25.196,188.056,315.143,312.796,111298,ea9b81c12f31d5aaeb9de6300278e2290c882264ba4c69643ce2694b653750ab,111298,ea9b81c12f31d5aaeb9de6300278e2290c882264ba4c69643ce2694b653750ab,True,False,,,,valid,2,1.676,1.921,47.934
Qwen3.5,Qwen/Qwen3.5-27B,/root/LoPT/tokenizers/qwen3_5_4b,hf,en,512k,524288,4,4,131072,128,0.0,87.576,37.148,124.724,315.143,312.796,111298,ea9b81c12f31d5aaeb9de6300278e2290c882264ba4c69643ce2694b653750ab,111298,ea9b81c12f31d5aaeb9de6300278e2290c882264ba4c69643ce2694b653750ab,True,False,,,,valid,4,2.527,3.572,72.002
Qwen3.5,Qwen/Qwen3.5-27B,/root/LoPT/tokenizers/qwen3_5_4b,hf,en,512k,524288,8,4,131072,64,0.0,88.548,37.646,126.194,315.143,312.796,111298,ea9b81c12f31d5aaeb9de6300278e2290c882264ba4c69643ce2694b653750ab,111298,ea9b81c12f31d5aaeb9de6300278e2290c882264ba4c69643ce2694b653750ab,True,False,,,,valid,4,2.497,3.533,71.691
Qwen3.5,Qwen/Qwen3.5-27B,/root/LoPT/tokenizers/qwen3_5_4b,hf,en,720k,737280,1,1,737280,8192,0.0,409.596,0.0,409.596,436.534,433.317,157358,c01bae33c3a2cb7c923cf43371bbdf89680e71f66a208f5c01ae65c193378e83,157358,c01bae33c3a2cb7c923cf43371bbdf89680e71f66a208f5c01ae65c193378e83,True,False,,,,valid,1,1.066,1.058,5.474
Qwen3.5,Qwen/Qwen3.5-27B,/root/LoPT/tokenizers/qwen3_5_4b,hf,en,720k,737280,2,2,368640,256,0.0,224.998,35.302,260.3,436.534,433.317,157358,c01bae33c3a2cb7c923cf43371bbdf89680e71f66a208f5c01ae65c193378e83,157358,c01bae33c3a2cb7c923cf43371bbdf89680e71f66a208f5c01ae65c193378e83,True,False,,,,valid,2,1.677,1.926,48.075
Qwen3.5,Qwen/Qwen3.5-27B,/root/LoPT/tokenizers/qwen3_5_4b,hf,en,720k,737280,4,4,184320,512,0.0,123.942,59.649,183.591,436.534,433.317,157358,c01bae33c3a2cb7c923cf43371bbdf89680e71f66a208f5c01ae65c193378e83,157358,c01bae33c3a2cb7c923cf43371bbdf89680e71f66a208f5c01ae65c193378e83,True,False,,,,valid,4,2.378,3.496,71.397
Qwen3.5,Qwen/Qwen3.5-27B,/root/LoPT/tokenizers/qwen3_5_4b,hf,en,720k,737280,8,4,184320,128,0.0,123.206,52.644,175.85,436.534,433.317,157358,c01bae33c3a2cb7c923cf43371bbdf89680e71f66a208f5c01ae65c193378e83,157358,c01bae33c3a2cb7c923cf43371bbdf89680e71f66a208f5c01ae65c193378e83,True,False,,,,valid,4,2.482,3.517,71.567
Qwen3.5,Qwen/Qwen3.5-27B,/root/LoPT/tokenizers/qwen3_5_4b,hf,en,720k,737280,16,64,11520,128,0.0,102.452,73.869,176.321,436.534,433.317,157358,c01bae33c3a2cb7c923cf43371bbdf89680e71f66a208f5c01ae65c193378e83,157358,c01bae33c3a2cb7c923cf43371bbdf89680e71f66a208f5c01ae65c193378e83,True,False,,,,valid,64,2.476,4.229,76.356
Qwen3.5,Qwen/Qwen3.5-27B,/root/LoPT/tokenizers/qwen3_5_4b,hf,en,880k,901120,1,1,901120,1024,0.0,519.133,0.0,519.133,526.443,522.858,192178,84eda32f3babcb368f4c423bbb259b0601af152de701b11ab38e3bdeaf5915ec,192178,84eda32f3babcb368f4c423bbb259b0601af152de701b11ab38e3bdeaf5915ec,True,False,,,,valid,1,1.014,1.007,0.712
Qwen3.5,Qwen/Qwen3.5-27B,/root/LoPT/tokenizers/qwen3_5_4b,hf,en,880k,901120,2,2,450560,128,0.0,270.48,44.79,315.27,526.443,522.858,192178,84eda32f3babcb368f4c423bbb259b0601af152de701b11ab38e3bdeaf5915ec,192178,84eda32f3babcb368f4c423bbb259b0601af152de701b11ab38e3bdeaf5915ec,True,False,,,,valid,2,1.67,1.933,48.269
Qwen3.5,Qwen/Qwen3.5-27B,/root/LoPT/tokenizers/qwen3_5_4b,hf,en,880k,901120,4,4,225280,128,0.0,146.766,70.489,217.255,526.443,522.858,192178,84eda32f3babcb368f4c423bbb259b0601af152de701b11ab38e3bdeaf5915ec,192178,84eda32f3babcb368f4c423bbb259b0601af152de701b11ab38e3bdeaf5915ec,True,False,,,,valid,4,2.423,3.563,71.93
Qwen3.5,Qwen/Qwen3.5-27B,/root/LoPT/tokenizers/qwen3_5_4b,hf,en,880k,901120,8,4,225280,64,0.0,148.465,61.972,210.437,526.443,522.858,192178,84eda32f3babcb368f4c423bbb259b0601af152de701b11ab38e3bdeaf5915ec,192178,84eda32f3babcb368f4c423bbb259b0601af152de701b11ab38e3bdeaf5915ec,True,False,,,,valid,4,2.502,3.522,71.605
Qwen3.5,Qwen/Qwen3.5-27B,/root/LoPT/tokenizers/qwen3_5_4b,hf,en,880k,901120,16,64,14080,256,0.0,87.974,86.24,174.214,526.443,522.858,192178,84eda32f3babcb368f4c423bbb259b0601af152de701b11ab38e3bdeaf5915ec,192178,84eda32f3babcb368f4c423bbb259b0601af152de701b11ab38e3bdeaf5915ec,True,False,,,,valid,64,3.022,5.943,83.174
