tokenizer_family,model_name,tokenizer_path,tokenizer_mode,language,length_label,input_chars,worker_processes,chunk_count,chunk_chars,overlap_chars,chat_template_time_ms,dispatch_submit_time_ms,dispatch_collect_time_ms,mp_dispatch_process_collect_time_ms,chunk_dedup_time_ms,worker_encode_time_ms_sum,worker_encode_time_ms_max,worker_materialize_time_ms_sum,worker_materialize_time_ms_max,lopt_e2e_time_ms,native_e2e_time_ms,native_tokenizer_time_ms,native_output_tokens,native_token_hash,lopt_output_tokens,lopt_token_hash,exact_match,fallback_used,fallback_serial_time_ms,fallback_token_hash,error_message,candidate_status,actual_chunk_count
DeepSeek-V4-Pro,deepseek-ai/DeepSeek-V4-Pro,/root/LoPT/tokenizers/deepseek_v4_pro,hf,en,1k,1024,4,2,512,64,0.0,0.036,1.143,1.178,0.034,0.682,0.359,0.029,0.016,1.212,3.819,3.568,189,c0b8acfe8b36c5c5674093aed35889e5aa607a4156a15ef6c29bc0c7c0b669d8,189,c0b8acfe8b36c5c5674093aed35889e5aa607a4156a15ef6c29bc0c7c0b669d8,True,False,,,,valid,2
DeepSeek-V4-Pro,deepseek-ai/DeepSeek-V4-Pro,/root/LoPT/tokenizers/deepseek_v4_pro,hf,en,1k,1024,4,2,512,128,0.0,0.037,1.245,1.282,0.053,0.733,0.429,0.037,0.022,1.335,3.819,3.568,189,c0b8acfe8b36c5c5674093aed35889e5aa607a4156a15ef6c29bc0c7c0b669d8,189,c0b8acfe8b36c5c5674093aed35889e5aa607a4156a15ef6c29bc0c7c0b669d8,True,False,,,,valid,2
DeepSeek-V4-Pro,deepseek-ai/DeepSeek-V4-Pro,/root/LoPT/tokenizers/deepseek_v4_pro,hf,en,1k,1024,4,2,512,256,0.0,0.043,1.22,1.263,0.06,0.716,0.438,0.046,0.029,1.323,3.819,3.568,189,c0b8acfe8b36c5c5674093aed35889e5aa607a4156a15ef6c29bc0c7c0b669d8,189,c0b8acfe8b36c5c5674093aed35889e5aa607a4156a15ef6c29bc0c7c0b669d8,True,False,,,,valid,2
DeepSeek-V4-Pro,deepseek-ai/DeepSeek-V4-Pro,/root/LoPT/tokenizers/deepseek_v4_pro,hf,en,1k,1024,4,4,256,32,0.0,0.059,1.503,1.561,0.056,0.853,0.272,0.042,0.014,1.617,3.819,3.568,189,c0b8acfe8b36c5c5674093aed35889e5aa607a4156a15ef6c29bc0c7c0b669d8,189,c0b8acfe8b36c5c5674093aed35889e5aa607a4156a15ef6c29bc0c7c0b669d8,True,False,,,,valid,4
DeepSeek-V4-Pro,deepseek-ai/DeepSeek-V4-Pro,/root/LoPT/tokenizers/deepseek_v4_pro,hf,en,1k,1024,4,4,256,64,0.0,0.063,1.472,1.535,0.067,0.842,0.267,0.045,0.014,1.602,3.819,3.568,189,c0b8acfe8b36c5c5674093aed35889e5aa607a4156a15ef6c29bc0c7c0b669d8,189,c0b8acfe8b36c5c5674093aed35889e5aa607a4156a15ef6c29bc0c7c0b669d8,True,False,,,,valid,4
DeepSeek-V4-Pro,deepseek-ai/DeepSeek-V4-Pro,/root/LoPT/tokenizers/deepseek_v4_pro,hf,en,1k,1024,4,4,256,128,0.0,0.056,1.662,1.718,0.096,0.994,0.266,0.063,0.018,1.814,3.819,3.568,189,c0b8acfe8b36c5c5674093aed35889e5aa607a4156a15ef6c29bc0c7c0b669d8,189,c0b8acfe8b36c5c5674093aed35889e5aa607a4156a15ef6c29bc0c7c0b669d8,True,False,,,,valid,4
DeepSeek-V4-Pro,deepseek-ai/DeepSeek-V4-Pro,/root/LoPT/tokenizers/deepseek_v4_pro,hf,en,1k,1024,4,8,128,32,0.0,0.1,2.059,2.159,0.104,1.118,0.214,0.07,0.013,2.263,3.819,3.568,189,c0b8acfe8b36c5c5674093aed35889e5aa607a4156a15ef6c29bc0c7c0b669d8,189,c0b8acfe8b36c5c5674093aed35889e5aa607a4156a15ef6c29bc0c7c0b669d8,True,False,,,,valid,8
DeepSeek-V4-Pro,deepseek-ai/DeepSeek-V4-Pro,/root/LoPT/tokenizers/deepseek_v4_pro,hf,en,1k,1024,4,8,128,64,0.0,0.106,1.987,2.093,0.131,1.079,0.198,0.078,0.013,2.224,3.819,3.568,189,c0b8acfe8b36c5c5674093aed35889e5aa607a4156a15ef6c29bc0c7c0b669d8,189,c0b8acfe8b36c5c5674093aed35889e5aa607a4156a15ef6c29bc0c7c0b669d8,True,False,,,,valid,8
DeepSeek-V4-Pro,deepseek-ai/DeepSeek-V4-Pro,/root/LoPT/tokenizers/deepseek_v4_pro,hf,en,1k,1024,4,16,64,32,0.0,0.179,3.166,3.345,0.187,1.635,0.177,0.126,0.012,3.532,3.819,3.568,189,c0b8acfe8b36c5c5674093aed35889e5aa607a4156a15ef6c29bc0c7c0b669d8,189,c0b8acfe8b36c5c5674093aed35889e5aa607a4156a15ef6c29bc0c7c0b669d8,True,False,,,,valid,16
DeepSeek-V4-Pro,deepseek-ai/DeepSeek-V4-Pro,/root/LoPT/tokenizers/deepseek_v4_pro,hf,en,4k,4096,1,1,4096,32,0.0,0.036,3.434,3.47,0.0,2.891,2.891,0.043,0.043,3.47,6.133,5.788,869,3b1904b516521561a98a1a7b55f80f1bee4d519ab605ce451c0cd0140cd38b48,869,3b1904b516521561a98a1a7b55f80f1bee4d519ab605ce451c0cd0140cd38b48,True,False,,,,valid,1
DeepSeek-V4-Pro,deepseek-ai/DeepSeek-V4-Pro,/root/LoPT/tokenizers/deepseek_v4_pro,hf,en,4k,4096,1,1,4096,64,0.0,0.023,2.673,2.696,0.0,2.224,2.224,0.041,0.041,2.696,6.133,5.788,869,3b1904b516521561a98a1a7b55f80f1bee4d519ab605ce451c0cd0140cd38b48,869,3b1904b516521561a98a1a7b55f80f1bee4d519ab605ce451c0cd0140cd38b48,True,False,,,,valid,1
DeepSeek-V4-Pro,deepseek-ai/DeepSeek-V4-Pro,/root/LoPT/tokenizers/deepseek_v4_pro,hf,en,4k,4096,1,1,4096,128,0.0,0.02,2.601,2.622,0.0,2.169,2.169,0.042,0.042,2.622,6.133,5.788,869,3b1904b516521561a98a1a7b55f80f1bee4d519ab605ce451c0cd0140cd38b48,869,3b1904b516521561a98a1a7b55f80f1bee4d519ab605ce451c0cd0140cd38b48,True,False,,,,valid,1
DeepSeek-V4-Pro,deepseek-ai/DeepSeek-V4-Pro,/root/LoPT/tokenizers/deepseek_v4_pro,hf,en,4k,4096,1,1,4096,256,0.0,0.018,2.564,2.583,0.0,2.142,2.142,0.045,0.045,2.583,6.133,5.788,869,3b1904b516521561a98a1a7b55f80f1bee4d519ab605ce451c0cd0140cd38b48,869,3b1904b516521561a98a1a7b55f80f1bee4d519ab605ce451c0cd0140cd38b48,True,False,,,,valid,1
DeepSeek-V4-Pro,deepseek-ai/DeepSeek-V4-Pro,/root/LoPT/tokenizers/deepseek_v4_pro,hf,en,4k,4096,1,1,4096,512,0.0,0.019,2.571,2.59,0.0,2.133,2.133,0.052,0.052,2.59,6.133,5.788,869,3b1904b516521561a98a1a7b55f80f1bee4d519ab605ce451c0cd0140cd38b48,869,3b1904b516521561a98a1a7b55f80f1bee4d519ab605ce451c0cd0140cd38b48,True,False,,,,valid,1
DeepSeek-V4-Pro,deepseek-ai/DeepSeek-V4-Pro,/root/LoPT/tokenizers/deepseek_v4_pro,hf,en,4k,4096,1,1,4096,1024,0.0,0.019,2.561,2.58,0.0,2.097,2.097,0.068,0.068,2.58,6.133,5.788,869,3b1904b516521561a98a1a7b55f80f1bee4d519ab605ce451c0cd0140cd38b48,869,3b1904b516521561a98a1a7b55f80f1bee4d519ab605ce451c0cd0140cd38b48,True,False,,,,valid,1
DeepSeek-V4-Pro,deepseek-ai/DeepSeek-V4-Pro,/root/LoPT/tokenizers/deepseek_v4_pro,hf,en,4k,4096,1,1,4096,2048,0.0,0.018,2.704,2.722,0.0,2.135,2.135,0.105,0.105,2.722,6.133,5.788,869,3b1904b516521561a98a1a7b55f80f1bee4d519ab605ce451c0cd0140cd38b48,869,3b1904b516521561a98a1a7b55f80f1bee4d519ab605ce451c0cd0140cd38b48,True,False,,,,valid,1
DeepSeek-V4-Pro,deepseek-ai/DeepSeek-V4-Pro,/root/LoPT/tokenizers/deepseek_v4_pro,hf,en,4k,4096,1,2,2048,32,0.0,0.029,2.719,2.748,0.041,2.216,1.132,0.052,0.027,2.789,6.133,5.788,869,3b1904b516521561a98a1a7b55f80f1bee4d519ab605ce451c0cd0140cd38b48,869,3b1904b516521561a98a1a7b55f80f1bee4d519ab605ce451c0cd0140cd38b48,True,False,,,,valid,2
DeepSeek-V4-Pro,deepseek-ai/DeepSeek-V4-Pro,/root/LoPT/tokenizers/deepseek_v4_pro,hf,en,4k,4096,1,2,2048,64,0.0,0.03,2.714,2.744,0.032,2.203,1.143,0.054,0.028,2.776,6.133,5.788,869,3b1904b516521561a98a1a7b55f80f1bee4d519ab605ce451c0cd0140cd38b48,869,3b1904b516521561a98a1a7b55f80f1bee4d519ab605ce451c0cd0140cd38b48,True,False,,,,valid,2
DeepSeek-V4-Pro,deepseek-ai/DeepSeek-V4-Pro,/root/LoPT/tokenizers/deepseek_v4_pro,hf,en,4k,4096,1,2,2048,128,0.0,0.031,2.747,2.777,0.041,2.221,1.125,0.064,0.034,2.818,6.133,5.788,869,3b1904b516521561a98a1a7b55f80f1bee4d519ab605ce451c0cd0140cd38b48,869,3b1904b516521561a98a1a7b55f80f1bee4d519ab605ce451c0cd0140cd38b48,True,False,,,,valid,2
DeepSeek-V4-Pro,deepseek-ai/DeepSeek-V4-Pro,/root/LoPT/tokenizers/deepseek_v4_pro,hf,en,4k,4096,1,2,2048,256,0.0,0.031,2.83,2.86,0.061,2.278,1.16,0.073,0.04,2.921,6.133,5.788,869,3b1904b516521561a98a1a7b55f80f1bee4d519ab605ce451c0cd0140cd38b48,869,3b1904b516521561a98a1a7b55f80f1bee4d519ab605ce451c0cd0140cd38b48,True,False,,,,valid,2
DeepSeek-V4-Pro,deepseek-ai/DeepSeek-V4-Pro,/root/LoPT/tokenizers/deepseek_v4_pro,hf,en,4k,4096,1,2,2048,512,0.0,0.03,3.023,3.053,0.094,2.418,1.291,0.099,0.059,3.147,6.133,5.788,869,3b1904b516521561a98a1a7b55f80f1bee4d519ab605ce451c0cd0140cd38b48,869,3b1904b516521561a98a1a7b55f80f1bee4d519ab605ce451c0cd0140cd38b48,True,False,,,,valid,2
